month,town,resale_price
2023-04-01,CENTRAL AREA,810369.1538461539
2023-04-01,JURONG WEST,526602.7716535433
2023-04-01,TAMPINES,597799.2380952381
2023-04-01,WOODLANDS,525821.1235955056
2023-05-01,BUKIT MERAH,715717.0909090909
2023-05-01,CENTRAL AREA,755500.0
2023-05-01,JURONG WEST,512723.51851851854
2023-05-01,TAMPINES,608039.475409836
2023-05-01,WOODLANDS,527480.5477386934
2023-06-01,BUKIT MERAH,705792.231884058
2023-06-01,CENTRAL AREA,693950.0
2023-06-01,JURONG WEST,513278.45871559635
2023-06-01,TAMPINES,593505.6198347107
2023-06-01,WOODLANDS,540138.2777777778
2023-07-01,BUKIT MERAH,731604.2461538462
2023-07-01,CENTRAL AREA,598058.8235294118
2023-07-01,JURONG WEST,520382.12587412586
2023-07-01,TAMPINES,588831.1448275862
2023-07-01,WOODLANDS,542723.5974842767
2023-08-01,BUKIT MERAH,705329.1642975206
2023-08-01,CENTRAL AREA,828894.4
2023-08-01,JURONG WEST,527010.0952380953
2023-08-01,TAMPINES,593260.832
2023-08-01,WOODLANDS,549448.7640449438
2023-09-01,BUKIT MERAH,686020.2608695652
2023-09-01,CENTRAL AREA,705841.4615384615
2023-09-01,JURONG WEST,508702.2013422819
2023-09-01,TAMPINES,593545.7950819673
2023-09-01,WOODLANDS,529174.7770700637
2023-10-01,BUKIT MERAH,716329.1
2023-10-01,CENTRAL AREA,692888.8
2023-10-01,JURONG WEST,486392.24242424243
2023-10-01,TAMPINES,610457.0230769231
2023-10-01,WOODLANDS,545257.0963855422
2023-11-01,BUKIT MERAH,706640.0
2023-11-01,CENTRAL AREA,580487.5555555555
2023-11-01,JURONG WEST,501762.6419047619
2023-11-01,TAMPINES,604126.5714285715
2023-11-01,WOODLANDS,552014.2818791947
2023-12-01,BUKIT MERAH,711261.4084507042
2023-12-01,CENTRAL AREA,727134.8571428572
2023-12-01,JURONG WEST,502255.97202797205
2023-12-01,TAMPINES,612723.3103448276
2023-12-01,WOODLANDS,560403.4520547945
2024-01-01,BUKIT MERAH,755252.2258064516
2024-01-01,CENTRAL AREA,612454.5454545454
2024-01-01,JURONG WEST,513222.1030927835
2024-01-01,TAMPINES,627113.9775280899
2024-01-01,WOODLANDS,556710.4950495049
2024-02-01,BUKIT MERAH,713427.3157894737
2024-02-01,CENTRAL AREA,610157.3333333334
2024-02-01,JURONG WEST,513218.2909090909
2024-02-01,TAMPINES,633928.3768115942
2024-02-01,WOODLANDS,565481.2736585366
2024-03-01,BUKIT MERAH,697400.0434782609
2024-03-01,CENTRAL AREA,676599.304347826
2024-03-01,JURONG WEST,534041.0797546012
2024-03-01,TAMPINES,640481.0817610063
2024-03-01,WOODLANDS,557275.424
2024-04-01,BUKIT MERAH,698116.021978022
2024-04-01,CENTRAL AREA,603305.4375
2024-04-01,JURONG WEST,510221.70454545453
